"Subset","Detail"
"5v0_Up","Rnf114"
"5v0_Up","Sbk1"
"5v0_Up","Scamp3"
"5v0_Up","Setbp1"
"5v0_Up","Slc30a9"
"5v0_Up","Slc3a2"
"5v0_Up","Smim10l1"
"5v0_Up","Snca"
"5v0_Up","Snrnp27"
"5v0_Up","Snx12"
"5v0_Up","Sos1"
"5v0_Up","Srr"
"5v0_Up","Synpo2"
"5v0_Up","Tab2"
"5v0_Up","Taf2"
"5v0_Up","Tbc1d2b"
"5v0_Up","Thsd4"
"5v0_Up","Tlk2"
"5v0_Up","Tmem108"
"5v0_Up","Tnpo1"
"5v0_Up","Trim44"
"5v0_Up","Ttyh1"
"5v0_Up","Txnrd1"
"5v0_Up","Uap1"
"5v0_Up","Ubxn1"
"5v0_Up","Uggt2"
"5v0_Up","Usp25"
"5v0_Up","Vcpip1"
"5v0_Up","Washc1"
"5v0_Up","Wdr1"
"5v0_Up","Xpnpep1"
"5v0_Up","Zc2hc1a"
"5v0_Up","Zfp236"
"5v0_Up","Zfp362"
"5v0_Up","Zfp598"
"5v0_Up","Zswim8"
"5v0_Up_30v5_Down","Acp1"
"5v0_Up_30v5_Down","Atg16l1"
"5v0_Up_30v5_Down","Bbs7"
"5v0_Up_30v5_Down","Calcoco1"
"5v0_Up_30v5_Down","Cc2d1b"
"5v0_Up_30v5_Down","Coil"
"5v0_Up_30v5_Down","Csrnp1"
"5v0_Up_30v5_Down","Cxcl12"
"5v0_Up_30v5_Down","Ddah1"
"5v0_Up_30v5_Down","Ergic3"
"5v0_Up_30v5_Down","Evc2"
"5v0_Up_30v5_Down","Far2"
"5v0_Up_30v5_Down","Fnbp1"
"5v0_Up_30v5_Down","Glce"
"5v0_Up_30v5_Down","Gm12258"
"5v0_Up_30v5_Down","Gng12"
"5v0_Up_30v5_Down","Htr2c"
"5v0_Up_30v5_Down","Il33"
"5v0_Up_30v5_Down","Ino80e"
"5v0_Up_30v5_Down","Lcorl"
"5v0_Up_30v5_Down","Lpl"
"5v0_Up_30v5_Down","Lpp"
"5v0_Up_30v5_Down","Lztfl1"
"5v0_Up_30v5_Down","Map7"
"5v0_Up_30v5_Down","Msl3"
"5v0_Up_30v5_Down","Mt1"
"5v0_Up_30v5_Down","Mto1"
"5v0_Up_30v5_Down","Nemf"
"5v0_Up_30v5_Down","Pik3r3"
"5v0_Up_30v5_Down","Plagl2"
"5v0_Up_30v5_Down","Plekha2"
"5v0_Up_30v5_Down","Rab30"
"5v0_Up_30v5_Down","Rassf8"
"5v0_Up_30v5_Down","Rwdd1"
"5v0_Up_30v5_Down","Septin11"
"5v0_Up_30v5_Down","Sh3bgrl"
"5v0_Up_30v5_Down","Slc25a26"
"5v0_Up_30v5_Down","Snx7"
"5v0_Up_30v5_Down","Srgap2"
"5v0_Up_30v5_Down","Uvssa"
"5v0_Up_30v5_Down","Vps4b"
"5v0_Up_30v5_Down","Wdfy1"
"5v0_Up_30v5_Down","Zranb1"
